index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite,home_total_dvoa,home_weighted_dvoa,home_offense_dvoa,home_defense_dvoa,home_special_dvoa,home_off_def_difference,home_sec_play_total,home_sec_play_neutral,home_sec_play_composite,away_total_dvoa,away_weighted_dvoa,away_offense_dvoa,away_defense_dvoa,away_special_dvoa,away_off_def_difference,away_sec_play_total,away_sec_play_neutral,away_sec_play_composite
47,1993-10-03,1993,5,BUF,BUF1993,NYG1993,17,14,31,43,-12,0,-6,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955
48,1993-10-03,1993,5,CHI,CHI1993,ATL1993,6,0,6,44,-38,0,-6,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21
49,1993-10-03,1993,5,DAL,DAL1993,GB1993,36,14,50,37,13,1,-11,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585
50,1993-10-03,1993,5,DEN,DEN1993,IND1993,35,13,48,36.5,11.5,1,-8.5,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97,-38.9,-38.5,-21,18,0.1,-21.1,26.33,30.6,28.465
51,1993-10-03,1993,5,KC,KC1993,LV1993,24,9,33,36.5,-3.5,0,-9,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36,10.8,5.1,4.9,2.1,8,-3.1,29.04,31.99,30.515
52,1993-10-03,1993,5,LAR,LAR1993,NO1993,6,37,43,38,5,1,-4,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39
53,1993-10-03,1993,5,NYJ,NYJ1993,PHI1993,30,35,65,40.5,24.5,1,-1,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73
54,1993-10-03,1993,5,SF,SF1993,MIN1993,38,19,57,39,18,1,-9.5,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435
55,1993-10-03,1993,5,SEA,SEA1993,LAC1993,31,14,45,31.5,13.5,1,-3.5,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695,17.9,25.9,11.9,-3.5,2.5,9.4,26.34,29.15,27.745
56,1993-10-03,1993,5,TB,TB1993,DET1993,27,10,37,37.5,-0.5,0,-7,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65
