index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
361,HOU,2010,HOU2010,26.8,30.45,28.625
362,LAR,2010,STL2010,27.26,29.73,28.495
363,MIA,2010,MIA2010,27.42,30.14,28.78
364,LV,2010,OAK2010,27.7,30.96,29.33
365,NYJ,2010,NYJ2010,27.78,30.09,28.935
366,CIN,2010,CIN2010,27.87,31.01,29.44
367,KC,2010,KC2010,27.88,30.63,29.255
368,NE,2010,NE2010,27.9,29.17,28.535
369,ATL,2010,ATL2010,27.93,30.45,29.19
370,PHI,2010,PHI2010,28,29.85,28.925
371,NO,2010,NO2010,28.12,30.63,29.375
372,BUF,2010,BUF2010,28.13,31.07,29.6
373,DAL,2010,DAL2010,28.25,32.54,30.395
374,SF,2010,SF2010,28.43,31.8,30.115
375,CLE,2010,CLE2010,28.53,31.36,29.945
376,BAL,2010,BAL2010,28.86,29.96,29.41
377,MIN,2010,MIN2010,29.2,32.67,30.935
378,JAX,2010,JAX2010,29.27,32.08,30.675
379,CHI,2010,CHI2010,29.38,32.41,30.895
380,NYG,2010,NYG2010,29.52,32.43,30.975
381,LAC,2010,SD2010,29.63,31.98,30.805
382,GB,2010,GB2010,29.92,31.53,30.725
383,TB,2010,TB2010,30.15,32.92,31.535
384,PIT,2010,PIT2010,30.2,33.34,31.77
385,SEA,2009,SEA2009,24.67,26.8,25.735
386,KC,2009,KC2009,25.64,28.31,26.975
387,DET,2009,DET2009,26.14,30.75,28.445
388,IND,2009,IND2009,26.58,28.19,27.385
389,ATL,2009,ATL2009,26.65,29.39,28.02
390,PHI,2009,PHI2009,26.77,29.47,28.12
391,TEN,2009,TEN2009,26.99,30.78,28.885
392,BAL,2009,BAL2009,27.19,29.22,28.205
393,DEN,2009,DEN2009,27.21,29.29,28.25
394,LAR,2009,STL2009,27.42,30.75,29.085
395,MIA,2009,MIA2009,27.52,32.21,29.865
396,CHI,2009,CHI2009,27.57,30.04,28.805
397,CAR,2009,CAR2009,27.58,31.03,29.305
398,CLE,2009,CLE2009,27.84,30.41,29.125
399,LV,2009,OAK2009,27.97,32.32,30.145
400,WAS,2009,WAS2009,28.03,29.47,28.75
401,TB,2009,TB2009,28.07,32.6,30.335
402,JAX,2009,JAX2009,28.13,31.37,29.75
403,HOU,2009,HOU2009,28.51,30.32,29.415
404,ARI,2009,ARI2009,28.6,31.49,30.045
405,NO,2009,NO2009,28.62,30.84,29.73
